Order ID,Customer ID,Platform,Order Date & Time,Delivery Time (Minutes),Product Category,Order Value (INR),Customer Feedback,Service Rating,Delivery Delay,Refund Requested
ORD000001,CUST2824,JioMart,2025-10-12 19:29:30,30,Fruits & Vegetables,382,"Fast delivery, great service!",5,No,No
ORD000003,CUST5506,JioMart,2025-10-12 21:29:30,25,Beverages,599,Items missing from order.,2,No,Yes
ORD000004,CUST5012,JioMart,2025-10-12 19:29:30,42,Beverages,946,Items missing from order.,2,Yes,Yes
ORD000007,CUST2679,JioMart,2025-10-12 22:29:30,22,Personal Care,1693,"Fast delivery, great service!",5,No,No
ORD000010,CUST7912,JioMart,2025-10-12 08:29:30,51,Grocery,1279,"Very late delivery, not happy.",2,Yes,Yes
ORD000012,CUST1488,JioMart,2025-10-12 12:29:30,11,Grocery,1062,Excellent experience!,5,No,No
ORD000013,CUST2535,Blinkit,2025-10-12 08:29:30,45,Fruits & Vegetables,516,"Horrible experience, never ordering again.",1,Yes,Yes
ORD000014,CUST4582,JioMart,2025-10-12 19:29:30,21,Dairy,322,"Very late delivery, not happy.",2,No,Yes
ORD000016,CUST9279,Blinkit,2025-10-12 07:29:30,35,Beverages,143,Good quality products.,4,No,No
ORD000018,CUST4257,Swiggy Instamart,2025-10-12 23:29:30,27,Beverages,161,Excellent experience!,5,No,No
ORD000019,CUST9928,Swiggy Instamart,2025-10-12 15:29:30,34,Dairy,417,"Horrible experience, never ordering again.",1,No,Yes
ORD000020,CUST7873,Swiggy Instamart,2025-10-12 20:29:30,26,Beverages,677,Quick and reliable!,5,No,No
ORD000023,CUST5557,Swiggy Instamart,2025-10-12 01:29:30,33,Beverages,486,Good quality products.,4,No,No
ORD000025,CUST3615,Blinkit,2025-10-12 06:29:30,30,Grocery,1288,Delivery person was rude.,2,No,Yes
ORD000031,CUST6514,Swiggy Instamart,2025-10-12 08:29:30,8,Beverages,757,Excellent experience!,5,No,No
ORD000032,CUST2674,JioMart,2025-10-12 23:29:30,25,Personal Care,1651,Packaging could be better.,3,No,No
ORD000033,CUST2519,Swiggy Instamart,2025-10-12 08:29:30,24,Dairy,290,Quick and reliable!,5,No,No
ORD000037,CUST6635,JioMart,2025-10-12 01:29:30,23,Fruits & Vegetables,101,"Fast delivery, great service!",5,No,No
ORD000039,CUST1711,Blinkit,2025-10-12 09:29:30,41,Beverages,711,Wrong item delivered.,1,Yes,Yes
ORD000040,CUST8527,JioMart,2025-10-12 11:29:30,36,Dairy,632,Quick and reliable!,5,No,No
ORD000042,CUST3045,JioMart,2025-10-12 11:29:30,16,Beverages,409,"Horrible experience, never ordering again.",1,No,Yes
ORD000044,CUST2291,Blinkit,2025-10-12 05:29:30,39,Grocery,1118,Quick and reliable!,5,No,No
ORD000046,CUST6925,JioMart,2025-10-12 14:29:30,34,Snacks,174,Excellent experience!,5,No,No
ORD000048,CUST2139,Blinkit,2025-10-12 16:29:30,22,Snacks,71,Packaging could be better.,3,No,No
ORD000051,CUST5741,Swiggy Instamart,2025-10-12 04:29:30,13,Dairy,289,Quick and reliable!,5,No,No
ORD000052,CUST2307,Blinkit,2025-10-12 16:29:30,22,Grocery,774,"Easy to order, loved it!",5,No,No
ORD000053,CUST4814,Swiggy Instamart,2025-10-12 22:29:30,31,Beverages,917,Quick and reliable!,5,No,No
ORD000056,CUST5554,JioMart,2025-10-12 08:29:30,25,Fruits & Vegetables,657,Packaging could be better.,3,No,No
ORD000057,CUST8428,JioMart,2025-10-12 12:29:30,28,Personal Care,817,Good quality products.,4,No,No
ORD000060,CUST7065,JioMart,2025-10-12 05:29:30,22,Fruits & Vegetables,555,Packaging could be better.,3,No,No
ORD000064,CUST2169,Swiggy Instamart,2025-10-12 06:29:30,46,Dairy,772,"Horrible experience, never ordering again.",1,Yes,Yes
ORD000066,CUST9751,Swiggy Instamart,2025-10-12 11:29:30,14,Personal Care,1956,Wrong item delivered.,1,No,Yes
ORD000068,CUST3677,Swiggy Instamart,2025-10-12 17:29:30,20,Dairy,146,Excellent experience!,5,No,No
ORD000073,CUST6313,Swiggy Instamart,2025-10-12 11:29:30,35,Dairy,425,"Fast delivery, great service!",5,No,No
ORD000076,CUST1525,Swiggy Instamart,2025-10-12 21:29:30,39,Grocery,1221,Very satisfied with the service.,5,No,No
ORD000077,CUST6168,Swiggy Instamart,2025-10-12 11:29:30,36,Beverages,159,Items missing from order.,2,No,Yes
ORD000080,CUST2084,Swiggy Instamart,2025-10-12 15:29:30,24,Dairy,147,Very satisfied with the service.,5,No,No
ORD000081,CUST4456,JioMart,2025-10-12 13:29:30,39,Fruits & Vegetables,565,Very satisfied with the service.,5,No,No
ORD000085,CUST7482,Blinkit,2025-10-12 19:29:30,33,Grocery,314,Packaging could be better.,3,No,No
ORD000088,CUST5339,Blinkit,2025-10-12 05:29:30,5,Beverages,465,"Horrible experience, never ordering again.",1,No,Yes
ORD000089,CUST3287,Swiggy Instamart,2025-10-12 03:29:30,34,Personal Care,1690,"Fast delivery, great service!",5,No,No
ORD000091,CUST9830,Blinkit,2025-10-12 18:29:30,8,Personal Care,183,Very satisfied with the service.,5,No,No
ORD000092,CUST5304,Blinkit,2025-10-12 03:29:30,35,Fruits & Vegetables,288,"Fast delivery, great service!",5,No,No
ORD000094,CUST7543,JioMart,2025-10-12 22:29:30,22,Grocery,280,"Fast delivery, great service!",5,No,No
ORD000096,CUST4593,Blinkit,2025-10-12 13:29:30,20,Grocery,378,Packaging could be better.,3,No,No
ORD000099,CUST9085,Blinkit,2025-10-12 06:29:30,35,Beverages,364,"Not fresh, disappointed.",2,No,Yes
ORD000103,CUST3504,JioMart,2025-10-12 00:29:30,45,Personal Care,634,Delivery person was rude.,2,Yes,Yes
ORD000105,CUST7916,JioMart,2025-10-12 11:29:30,28,Beverages,391,Items missing from order.,2,No,Yes
ORD000107,CUST7304,Blinkit,2025-10-12 15:29:30,31,Fruits & Vegetables,367,Good quality products.,4,No,No
ORD000111,CUST5119,JioMart,2025-10-12 10:29:30,20,Personal Care,727,Delivery person was rude.,2,No,Yes
ORD000114,CUST9797,JioMart,2025-10-12 19:29:30,42,Dairy,724,"Very late delivery, not happy.",2,Yes,Yes
ORD000115,CUST5371,Blinkit,2025-10-12 04:29:30,52,Grocery,623,"Fast delivery, great service!",5,Yes,No
